CONTRY;CHANGED;USER;CCPU;CCPU_CHANGES;DCPU;DCPU_CHANGES;RCPU;RCPU_CHANGES;X010;X010T_CHANGES;X200_FLASH_TURBE;X200T_CHANGES
Irland;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
Israel;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
Italien;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.95 L1;(Only L1)---The printout for the Danish car inspection has changed. -	The ovality reference has change from ex. 30% -> +/-15%.-	The total test deceleration is removed.Corrections in the P0 calculation “Only DK”Acceleration due to gravity is change from 0.0982 to 0.0981.  ---When going into service mode, the X200 will start sending realtime data to the PC every 50mS. It was very difficult to adjust the weight from the PC screen with sending data only every 200mS.A standard BM Source Code Cleaning is done to get more space :o).
Letland;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.95 L1;(Only L1)---The printout for the Danish car inspection has changed. -	The ovality reference has change from ex. 30% -> +/-15%.-	The total test deceleration is removed.Corrections in the P0 calculation “Only DK”Acceleration due to gravity is change from 0.0982 to 0.0981.  ---When going into service mode, the X200 will start sending realtime data to the PC every 50mS. It was very difficult to adjust the weight from the PC screen with sending data only every 200mS.A standard BM Source Code Cleaning is done to get more space :o).
New-Zealand;13-01-2009;KGS;2.00;;D920M;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
Schweitz;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.83 L3;
Spanien;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.95 L1;(Only L1)---The printout for the Danish car inspection has changed. -	The ovality reference has change from ex. 30% -> +/-15%.-	The total test deceleration is removed.Corrections in the P0 calculation “Only DK”Acceleration due to gravity is change from 0.0982 to 0.0981.  ---When going into service mode, the X200 will start sending realtime data to the PC every 50mS. It was very difficult to adjust the weight from the PC screen with sending data only every 200mS.A standard BM Source Code Cleaning is done to get more space :o).
Norge;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.75.L4;
Sudan;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
Sverige;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.95 L1;(Only L1)---The printout for the Danish car inspection has changed. -	The ovality reference has change from ex. 30% -> +/-15%.-	The total test deceleration is removed.Corrections in the P0 calculation “Only DK”Acceleration due to gravity is change from 0.0982 to 0.0981.  ---When going into service mode, the X200 will start sending realtime data to the PC every 50mS. It was very difficult to adjust the weight from the PC screen with sending data only every 200mS.A standard BM Source Code Cleaning is done to get more space :o).
Tyskland;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.83 L3;
USA;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
VOSA;13-01-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.90 L2;If any address is out of range, that address will be set to default.New address 80 for A/B mode (Single roller bed). 0-Can NOT be activated (default)1-Can be activatedNew address 189 for brake force interval for P0 calculation (Step of 10daN).        1-15 (Default 2)        Ex. 2 =20 daN.New P0 calculationThe P0 calculation could not be done if the Pm had been more that 0.2 bar during rolling resistance measuring. This is change so, the difference of Pm must NOT be larger than +/- 0.2 bar during rolling resistance measuring. New rules and calculations for Denmark (Disk (A mode) / Drum (B mode) brake is selected with A/B)-Only special printout will show the Danish result.Address 253: default value change to 6New bit in realtime packet to switch between show ovality / frequency . (This is for you Steffen)-sbit ctrlTenKiloStep = ctrlInfo^0 -sbit ctrlShowFreq = ctrlInfo^1In service mode the weight can now manually be controlled. When infrared [kg] is pressed, the weight will show left/right/both.Then “0” is pressed before “print” in service mode, no printout! GUID from test map has been added to key_data.  Only Sweden Evaluation of axle removed from Swedish printout.If Pm is larger than +/- 0.2 bar during rolling resistance measuring, the Pm display will show lines “—“. If no P0 measured the Pm display will switch between lines “—“ and the block pressure after the test.When infrared [Ovality] is pressed, the tester will freeze values when average values are measured. (Same as eprom Version 12 ASB).
Australien;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Canada;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L5;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Canada;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Canada;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
England;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Hong-Kong;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
New-Zealand;29-04-2009;KGS;2.00;;D920M;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Vietnam;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
VOSA;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
USA;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Litauen;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Thailand;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Sudan;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Israel;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
Irland;29-04-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.29;Version 8.00.29  3/12-2008When brake test is stopped by on/off sensors,  Bit 9 (left) and Bit 10 (Right)  in keypack status is set to 1. This is made for Lithuania.;P9.94B L2;NxPeak filter is now added to the live calculation of imbalance.Address 177 is added [Max CLS Load] 0: Not active1 – 15: Active (example 6=6000kg).The default values of following addresses have changed:Address 202 = 30 to 25Address 216 = 30 to 40Address 219 = 50 to 75Code optimization for saving space!Retest function added. After testing an axle, press F1+0 and use the arrow up/down to select the correct axle. New special printout is made for NZ. For NZ the total deceleration for both service and parking will be shown after the test. The eprom will send Ack on reset received from the PC by RS232    Slip warning fixed.Address 78 [Load regulating during brake test]The Address has changed. 0: No (Default) 	- “before Yes”	1: Yes 		- “before No”
ASB(RØD);28-05-2009;KGS;2.00;;B5.05;;RC9.03;;V8.00.30;Address 9 is added (B-Mode):0= B-Mode not active.1= B-Mode activeB-Mode is using right motorbrake output. So from now on motorbrake is only controlled with one output.Address 69 is added (Ovality in %)0= Ovality in brakeforce (daN)1= Ovality in %2= Ovality in +/- % (Ovality divided by 2)Problem with using IR remote and cable remote at the same time is fixed.If 2 single axles is testet, the eprom knows that it is a motorcycle. Testside in the keypack will now tell is left or right side is testet. (For Lituania "Jonas");M5.63;
Belgien;28-05-2009;KGS;2.00;;D920P / F14.27;;RC9.11;9.11 Der kan nu vælges om der skal bruges stjerne/trekant eller direkte start via lus;V8.00.30;Address 9 is added (B-Mode):0= B-Mode not active.1= B-Mode activeB-Mode is using right motorbrake output. So from now on motorbrake is only controlled with one output.Address 69 is added (Ovality in %)0= Ovality in brakeforce (daN)1= Ovality in %2= Ovality in +/- % (Ovality divided by 2)Problem with using IR remote and cable remote at the same time is fixed.If 2 single axles is testet, the eprom knows that it is a motorcycle. Testside in the keypack will now tell is left or right side is testet. (For Lituania "Jonas");P9.95 L1;(Only L1)---The printout for the Danish car inspection has changed. -	The ovality reference has change from ex. 30% -> +/-15%.-	The total test deceleration is removed.Corrections in the P0 calculation “Only DK”Acceleration due to gravity is change from 0.0982 to 0.0981.  ---When going into service mode, the X200 will start sending realtime data to the PC every 50mS. It was very difficult to adjust the weight from the PC screen with sending data only every 200mS.A standard BM Source Code Cleaning is done to get more space :o).
